,,,t,Rf,VE,VT,VO2,VCO2,VE/VO2,VE/VCO2,VO2/Kg,R,HR,Power,RPM,Load3,Phase
,,,hh:mm:ss,b/min,l/min,l,ml/min,ml/min,---,---,ml/min/Kg,---,bpm,Watt,1/min,Watt,---

,,,00:05:26,16.39344262,26.01614141,1.586984626,1388.260734,1044.778929,18.74009742,24.90109695,17.52854463,0.7525812,86,76,93,0,3
,,,00:05:30,17.59530792,28.44390797,1.616562103,1540.303732,1149.220117,18.46642801,24.75061788,19.44827944,0.746099677,86,76,93,0,3
,,,00:05:33,19.48051948,27.75620375,1.424818459,1463.923223,1097.363737,18.9601499,25.29353105,18.48387908,0.749604706,86,76,94,0,3
,,,00:05:36,17.96407186,30.68899892,1.708354273,1654.125827,1244.507235,18.55300148,24.65955846,20.88542711,0.752365518,85,76,93,0,3
,,,00:05:40,18.63354037,29.11503194,1.562506714,1527.429492,1158.865114,19.06145723,25.12374528,19.28572591,0.758702853,85,76,94,0,3
,,,00:05:43,19.23076923,29.20481645,1.518650455,1473.413189,1112.136872,19.82119928,26.26009189,18.60370188,0.75480312,85,76,93,0,3
,,,00:05:46,18.98734177,31.9336051,1.681836535,1648.989005,1243.616808,19.36556581,25.67801022,20.82056825,0.754169254,85,76,92,0,3
,,,00:05:49,20.54794521,31.49854597,1.532929237,1577.691537,1186.403347,19.96495844,26.54960983,19.92034769,0.751986887,85,76,95,0,3
,,,00:05:52,19.48051948,30.06094222,1.543128367,1507.896621,1141.096184,19.93567848,26.34391617,19.03909875,0.75674696,85,76,95,0,3
,,,00:05:55,20.6185567,32.36383722,1.569646105,1706.900399,1290.925412,18.96058917,25.07026117,21.55177271,0.756298032,87,76,94,0,3
,,,00:05:58,20.06688963,32.8896359,1.639000189,1725.370405,1291.736785,19.06236238,25.46156175,21.78497987,0.748672158,88,76,94,0,3
,,,00:06:01,20.83333333,31.57480659,1.515590716,1592.051947,1201.336779,19.83277408,26.28305996,20.101666,0.754583907,87,114,0,0,3
,,,00:06:04,15.50387597,34.91423103,2.251967901,1720.923383,1363.20431,20.28807986,25.61188427,21.72883059,0.792135387,89,114,94,0,3
,,,00:06:08,17.96407186,32.20970752,1.793007052,1601.606465,1267.081145,20.11087507,25.42039841,20.22230385,0.791131388,88,114,94,0,3
,,,00:06:11,19.10828025,33.16990938,1.735891924,1662.365166,1309.463593,19.95344347,25.33091378,20.98945917,0.78771116,89,114,94,0,3
,,,00:06:14,18.80877743,33.60917067,1.786887574,1719.422622,1343.825152,19.54677706,25.0100771,21.70988159,0.78155605,90,114,94,0,3
,,,00:06:17,18.40490798,31.42333178,1.70733436,1602.077409,1253.367521,19.61411577,25.0711234,20.22825012,0.782338927,92,114,94,0,3
,,,00:06:21,18.51851852,34.6392674,1.87052044,1834.338394,1420.462175,18.88379348,24.38591327,23.1608383,0.774373027,92,114,94,0,3
,,,00:06:24,17.96407186,32.68607407,1.81952479,1696.785922,1308.828966,19.26352267,24.97352589,21.42406467,0.771357747,94,114,94,0,3
,,,00:06:28,14.92537313,30.1407125,2.019427738,1661.004105,1276.837829,18.14607948,23.60574837,20.97227405,0.768714433,95,114,93,0,3
,,,00:06:31,19.86754967,36.9802892,1.861341223,1964.54033,1482.122354,18.82388904,24.95090172,24.80480215,0.754437225,96,114,93,0,3
,,,00:06:34,19.93355482,33.46398929,1.678776796,1681.784806,1280.971172,19.89790202,26.12392069,21.23465664,0.76167365,97,114,94,0,3
,,,00:06:38,16.17250674,28.78298948,1.779748183,1603.798243,1199.14815,17.94676456,24.00286361,20.24997782,0.747692644,98,114,93,0,3
,,,00:06:41,20.27027027,40.14873737,1.980671044,2221.294779,1655.878589,18.07447519,24.24618426,28.04665126,0.745456481,98,114,94,0,3
,,,00:06:44,19.73684211,41.20582714,2.087761909,2235.068929,1687.641425,18.43604312,24.41622168,28.22056728,0.755073547,100,114,94,0,3
,,,00:06:47,19.16932907,42.4062229,2.212191294,2287.32127,1742.526205,18.53968809,24.33606036,28.88031906,0.761819613,100,114,94,0,3
,,,00:06:50,17.85714286,42.67243136,2.389656156,2186.061692,1721.56644,19.52023198,24.78697909,27.60178904,0.787519605,101,114,94,0,3
,,,00:06:54,17.59530792,42.69278048,2.426373024,2199.845137,1749.024159,19.40717543,24.40948586,27.77582244,0.795066948,101,114,95,0,3
,,,00:06:57,15.95744681,35.82173155,2.24482851,1854.524613,1489.638723,19.31585663,24.04726126,23.41571482,0.803245593,101,114,94,0,3
,,,00:07:00,20.83333333,42.36888583,2.03370652,1999.875457,1643.266848,21.18576218,25.7833266,25.25095275,0.821684591,100,114,94,0,3
,,,00:07:06,10.79136691,26.02979398,2.412094242,1325.153503,1073.777486,19.64285189,24.24132962,16.73173614,0.810304228,99,114,94,0,3
,,,00:07:09,20.90592334,44.49947934,2.128558429,2497.244813,1910.155808,17.81943008,23.29625633,31.53086885,0.764905306,98,114,94,0,3
,,,00:07:11,21.81818182,49.08933983,2.249928075,2558.473705,1980.959928,19.18696281,24.78058194,32.30396093,0.774274101,99,114,94,0,3
,,,00:07:15,18.07228916,44.60583356,2.468189457,2208.823889,1767.884121,20.19438208,25.23119758,27.88919052,0.800373507,100,114,94,0,3
,,,00:07:18,17.04545455,40.26338361,2.362118505,2077.460302,1684.96511,19.38106041,23.89567794,26.23055937,0.811069703,100,152,0,0,3
